,RMSE,RMSE,RMSE,RMSE,Normalized_RMSE_%,Normalized_RMSE_%,Normalized_RMSE_%,Normalized_RMSE_%
,Claude,GPT5,Grok,DeepSeek,Claude,GPT5,Grok,DeepSeek
0.054,6.701549533023474e-05,1.3006096338187044e-07,1.3006096338187044e-07,1.5921069012231197e-05,0.020295952742556144,3.9389564360331375e-05,3.9389564360331375e-05,0.004821769393644018
0.055,6.904322989237157e-05,1.3488481545693682e-07,1.3488481545693682e-07,1.6978705527828467e-05,0.020911202293239197,4.0852718893701195e-05,4.0852718893701195e-05,0.0051423600333186
0.056,7.107648249112909e-05,1.3979478801711016e-07,1.3979478801711016e-07,1.8082199452777117e-05,0.021528211852749928,4.2342160259805035e-05,4.2342160259805035e-05,0.005476880776023905
0.057,7.311390559278418e-05,1.4479078459155203e-07,1.4479078459155203e-07,1.9232323349655724e-05,0.02214657538961491,4.3857868085148094e-05,4.3857868085148094e-05,0.005825568960203898
0.058,7.515415858977162e-05,1.4987270878172732e-07,1.4987270878172732e-07,2.0429826904807143e-05,0.022765888887358258,4.53998221708063e-05,4.53998221708063e-05,0.006188655132732757
0.059000000000000004,7.719590910217549e-05,1.5504046424830737e-07,1.5504046424830737e-07,2.167543718306901e-05,0.02338575073530121,4.696800248828362e-05,4.696800248828362e-05,0.0065663631264580346
0.06,7.923783427226642e-05,1.6029395466121378e-07,1.6029395466121378e-07,2.29698589780151e-05,0.024005762117425316,4.856238916420341e-05,4.856238916420341e-05,0.006958910166604997
0.061,8.127862205086735e-05,1.6563308383526495e-07,1.6563308383526495e-07,2.431377525243094e-05,0.024625527398937672,5.018296252122956e-05,5.018296252122956e-05,0.007366507004457287
0.062,8.331697247424077e-05,1.7105775557288378e-07,1.7105775557288378e-07,2.5707847663858772e-05,0.02524465451014953,5.1829703030245715e-05,5.1829703030245715e-05,0.0077893580767630175
0.063,8.535159893022747e-05,1.7656787372527377e-07,1.7656787372527377e-07,2.715271716933458e-05,0.02586275532729015,5.350259132871817e-05,5.350259132871817e-05,0.00822766168909941
0.064,8.738122941236838e-05,1.821633422252701e-07,1.821633422252701e-07,2.86490047030013e-05,0.02647944604987857,5.520160823048401e-05,5.520160823048401e-05,0.00868161022129614
0.065,8.940460776076633e-05,1.8784406493818642e-07,1.8784406493818642e-07,3.0197311920277326e-05,0.027094347574282692,5.692673468038855e-05,5.692673468038855e-05,0.009151390353015636
0.066,9.142049488844743e-05,1.9360994578652699e-07,1.9360994578652699e-07,3.179822200153693e-05,0.02770708586309612,5.8677951791907984e-05,5.8677951791907984e-05,0.00963718330736919
0.067,9.342766999190818e-05,1.9946088870399826e-07,1.9946088870399826e-07,3.345230050835887e-05,0.028317292309940394,6.045524083305084e-05,6.045524083305084e-05,0.01013916511047755
0.068,9.542493174463128e-05,2.0539679754167723e-07,2.0539679754167723e-07,3.516009628499009e-05,0.028924604099329225,6.225858319775367e-05,6.225858319775367e-05,0.01065750686475971
0.069,9.741109947234051e-05,2.1141757608740837e-07,2.1141757608740837e-07,3.6922142397559215e-05,0.029528664561227557,6.408796041159074e-05,6.408796041159074e-05,0.011192375033699107
0.07,9.938501430867053e-05,2.175231281417248e-07,2.175231281417248e-07,3.8738957103384226e-05,0.0301291235199085,6.594335415462276e-05,6.594335415462276e-05,0.011743931735777534
0.07100000000000001,0.00010134554033011985,2.2371335738005385e-07,2.2371335738005385e-07,4.061104484272982e-05,0.03072563763677027,6.782474621946387e-05,6.782474621946387e-05,0.012312335045269856
0.07200000000000001,0.00010329156566892423,2.2998816744432244e-07,2.2998816744432244e-07,4.253889724539371e-05,0.03131787074670364,6.973211853888573e-05,6.973211853888573e-05,0.01289773929759838
